place_id,name,description,reviews,rating,featured_image,address,review_keywords,link,coordinates
tengah_0985,Pantai Wisata bantayan (seunuddon),-,200,4.0,https://lh3.ggpht.com/p/AF1QipP7e78kq3yVv7VGi3R6tTfArhBA_AXS4lgIZLsl=s1024,"Bantayan, Jl, Ulee Rubek Tim., Kabupaten Aceh Utara, Aceh","pantainya, santai, anak, cafe, biaya",https://www.google.com/maps/place/Pantai+Wisata+bantayan+%28seunuddon%29/data=!4m7!3m6!1s0x304792d81fb94af3:0xe83d9bf18d5be6e7!8m2!3d5.2229832!4d97.4271768!16s%2Fg%2F11cly88_tn!19sChIJ80q5H9iSRzAR5-ZbjfGbPeg?authuser=0&hl=id&rclk=1,"5.2229832, 97.4271768"
tengah_0986,Rubiah Beach,-,1118,4.7,https://lh3.ggpht.com/p/AC9h4npg1gq-voOrWuelRDYcOIz3jFJBNqS6PlZjmsrPd7cuSlzKsI7C6oEsKfYO9qYFjfgS5d_hi36uKjbYh1NAqNP1oxLhMZ3N4J49bLFlEJcIcy2aayvHEX8thfr0c8rWX2jzHj30=s1024,"Pulau Rubiah, Iboih, Sukakarya, Kota Sabang, Aceh","snorkeling, ikan, pemandangan, terumbu karang, liburan, sewa, pemandu, selam skuba, santai, bawah air",https://www.google.com/maps/place/Rubiah+Beach/data=!4m7!3m6!1s0x3041c57b566c1ae7:0x9c0ab6609e447e94!8m2!3d5.8794227!4d95.2583816!16s%2Fg%2F11cnc9kcm_!19sChIJ5xpsVnvFQTARlH5EnmC2Cpw?authuser=0&hl=id&rclk=1,"5.8794227, 95.25838159999999"
tengah_0989,Pantai Jantang,-,53,4.1,https://lh3.ggpht.com/p/AC9h4no_7iZOoKiCcDlWA7w4BRjeevu4Wq3kxvUsfyoay_89bqX25HqHYSG0rb8t6x9olr23XFNR4bD_BKnXzGmZHbpg1t7zGvgcv1Ez1jQb-76wmaynQ5p8MSpSdYKuPGln_xzOp3g=s1024,"Jantang, Kec. Lhoong, Kabupaten Aceh Besar, Aceh","pukat, pemandangan, wisata",https://www.google.com/maps/place/Pantai+Jantang/data=!4m7!3m6!1s0x304010c082194641:0x17e97756d237fe3a!8m2!3d5.2702499!4d95.2476172!16s%2Fg%2F11c6tzdz9m!19sChIJQUYZgsAQQDAROv430lZ36Rc?authuser=0&hl=id&rclk=1,"5.2702499, 95.2476172"
tengah_0990,Pondok Pantai Biru,-,255,4.0,https://lh3.ggpht.com/p/AC9h4nrYASqbiB7XoEBQddW04OonEgH63o6lkypgsbGGJZjz1nAtQ6NulKvq-3ulaclDufZDPcsCX8tt-xvWyigYQNCUcbVE6JrRuac0Rdy5_4bzZHHF9Sw6x22W8f_dcoEaz6rTU9c=s1024,"Hagu Bar. Laut, Kec. Banda Sakti, Kota Lhokseumawe, Aceh","rujak, menu, angin laut, kelapa, luas, duduk, juara, pemandangan, tempat wisata",https://www.google.com/maps/place/Pondok+Pantai+Biru/data=!4m7!3m6!1s0x30479d21a80e1d21:0x27ffa42788606f3f!8m2!3d5.2046342!4d97.132614!16s%2Fg%2F11f120lr7c!19sChIJIR0OqCGdRzARP29giCek_yc?authuser=0&hl=id&rclk=1,"5.2046342, 97.13261399999999"
tengah_0992,Pantai Kerikil Pulot Aceh Besar,-,26,4.7,https://lh3.ggpht.com/p/AC9h4nohbHkrlCgwgbg2MtGcYk_3b8rrutluhbvJITWzVbZsE4LjT5z0Ls7kFhOVYYN_xljf9GChwYILevhrFaJAlS4fYsxPEq2KjEDEwA60dH7vF0Q0k5UDw3GKNX2NoexjIDJEC5cE=s1024,"Pulot, Kabupaten Aceh Besar, Aceh",foto,https://www.google.com/maps/place/Pantai+Kerikil+Pulot+Aceh+Besar/data=!4m7!3m6!1s0x30403dc69adabe49:0x38cb7186aab03b5f!8m2!3d5.373677!4d95.251662!16s%2Fg%2F11khkn1x53!19sChIJSb7amsY9QDARXzuwqoZxyzg?authuser=0&hl=id&rclk=1,"5.373677, 95.251662"
tengah_0996,Pantai Panorama Calang,-,44,4.4,https://lh3.ggpht.com/p/AC9h4no1nu-ALKH30MmLo762d-1sSYmHNW6K9i-ue7T0Hx2JtxpK6szr5VTxqab4GiVE42DNULtrDh0jbRE9y1zNdR-ygcLhETO3ruLeQKVmubjinFw93tsfBdLqGOUR_txz563Fj3Qi=s1024,"Kp. Blang, Kec. Krueng Sabee, Kabupaten Aceh Jaya, Aceh",pemandangan,https://www.google.com/maps/place/Pantai+Panorama+Calang/data=!4m7!3m6!1s0x303fa315b262272f:0x734d2af0dd1ec29e!8m2!3d4.6469245!4d95.585189!16s%2Fg%2F11f401n45y!19sChIJLydishWjPzARnsIe3fAqTXM?authuser=0&hl=id&rclk=1,"4.6469245, 95.585189"
tengah_0997,Pantai Peunaga Pasi,-,37,4.1,https://lh3.ggpht.com/p/AC9h4nrh34K5I5o5kpCQMEZQoYfXFMtmZ8v4Gq1NjnRScNMwylKLbG9ZWUeZYwjAXFNo5lsvZq8UM9bTKux0-o9bL7faxzLmDA_Ok_w3EGQ7KYvBG8VfwJcrS9s9p6dMtLbpyAdU-3vFGQ=s1024,"Peunaga Pasi, Kec. Meureubo, Kabupaten Aceh Barat, Aceh",orang,https://www.google.com/maps/place/Pantai+Peunaga+Pasi/data=!4m7!3m6!1s0x303ec6a0db071f8b:0x61d1c050fa21845c!8m2!3d4.1253588!4d96.1694623!16s%2Fg%2F11g9qp65bt!19sChIJix8H26DGPjARXIQh-lDA0WE?authuser=0&hl=id&rclk=1,"4.1253588, 96.16946229999999"
tengah_0998,"Pantai Lhok Keutapang, Tapaktuan (Aceh Selatan)",-,248,4.2,https://lh3.ggpht.com/p/AC9h4notCYhQrAPngydWKg8RbfpCc5Y2U3fRThgUKrve7eo13f0L7bd53xQE_CmeAIldH4OOyke5XwtmhvyL3rrhmgW8RLzA6JFBwKQKW6ygl-8Wc05kiCfTMitBveueAL33TbN3CAcO=s1024,"Lhok Keutapang, Pidie, Kabupaten Pidie, Aceh","pemandangan, tempat wisata, alami","https://www.google.com/maps/place/Pantai+Lhok+Keutapang,+Tapaktuan+%28Aceh+Selatan%29/data=!4m7!3m6!1s0x303a4dd02508faf7:0xd88c947208605c41!8m2!3d3.2645007!4d97.16781!16s%2Fg%2F11c75xxqtz!19sChIJ9_oIJdBNOjARQVxgCHKUjNg?authuser=0&hl=id&rclk=1","3.2645006999999997, 97.16780999999999"
tengah_0999,Pantai Wisata Kuala Jangka,"Kantin mita bacut
Di belakang kantin ada musholla dan tempat wudhu dan toilet tempat mandi",1254,4.1,https://lh3.ggpht.com/p/AC9h4nqFSqQTEaKIktvCPHO4-0FGfO_xnU8tPqU-JqiTU3Cg6kx8f__24EhBpnSLq8vQrJEd1-rSgDVL5IiNjuDpbu0k5CrUIC4sRkYgKx80eXXA58C0KJO0Ka7yP7moePIX8bf5ZOTpXw=s1024,"Jangka Mesjid, Kec. Jangka, Kabupaten Bireuen, Aceh","tempat wisata, santai, pemandangan, liburan, sore, kebersihan, daerah, orang, masyarakat, biaya",https://www.google.com/maps/place/Pantai+Wisata+Kuala+Jangka/data=!4m7!3m6!1s0x3047699b0b70b181:0xc621f3395cadbfbf!8m2!3d5.2605689!4d96.7853954!16s%2Fg%2F11cn73d5wg!19sChIJgbFwC5tpRzARv7-tXDnzIcY?authuser=0&hl=id&rclk=1,"5.2605689, 96.7853954"
tengah_1000,Pantai Leuge,-,423,4.2,https://lh3.ggpht.com/p/AC9h4nqeSa3AIaVj8tfEyLHUpwm3VtoordYiGDehTU9yUGzDX0aVIdvuEQrSMoXDOnnhlbqJKqPTXOz8MpnP-Uf1_-9P-Jo7spC5Wubfk911tETExVu8g_Zbwig54YWMpZ3Qw3cKXbs8=s1024,"Leuge, Kec. Peureulak, Kabupaten Aceh Timur, Aceh","pantainya, pungli, masyarakat, toilet, kebersihan, tiket, uang, orang, pemandangan, parkir",https://www.google.com/maps/place/Pantai+Leuge/data=!4m7!3m6!1s0x3037f1b5e3cfb3e1:0x1691db610bb236c8!8m2!3d4.8014311!4d97.9362977!16s%2Fg%2F11c5s5kys2!19sChIJ4bPP47XxNzARyDayC2HbkRY?authuser=0&hl=id&rclk=1,"4.801431099999999, 97.9362977"
